code,year,title,net_allocated,net_revised,net_used,gross_allocated,gross_revised,personnel_allocated,personnel_revised,commitment_allocated,commitment_revised,amounts_allocated,amounts_revised,contractors_allocated,contractors_revised,dedicated_allocated,dedicated_revised,equiv_code,group_full,group_top,class_full,class_top,kind,subkind
00940302,2002,"קניות בי""ח נהריה",99849,125359,127237,,127237,,,,,,,,,,,"[u'1998/00940302', u'1999/00940302', u'2000/00940302', u'2001/00940302', u'2002/00940302', u'2003/00940302', u'2004/00940302', u'2005/00940302', u'2006/00940302', u'2007/00940302', u'2008/00940302', u'2009/00940302', u'2010/00940302', u'2011/009403', u'2011/00940302', u'2012/009403', u'2012/00940302', u'2013/009403', u'2013/00940302', u'2014/009403', u'2014/00940302', u'2015/009403', u'2015/00940302', u'2016/009403', u'2016/00940302']",,,,,,
00940401,2002,"בי""ח ע""ש וולפסון חולון הוצאות שכר",271480,281804,279168,,279167,,,,,,,,,,,"[u'2000/00940401', u'2001/00940401', u'2002/00940401', u'2003/00940401', u'2004/00940401', u'2005/00940401', u'2006/00940401', u'2007/00940401', u'2008/00940401', u'2009/00940401', u'2010/00940401', u'2011/009404', u'2011/00940401', u'2012/009404', u'2012/00940401', u'2013/009404', u'2013/00940401', u'2014/009404', u'2014/00940401', u'2015/009404', u'2015/00940401', u'2016/009404']",,,,,,
00940402,2002,"בי""ח ע""ש וולפסון חולון קניות",135249,142094,142682,,142682,,,,,,,,,,,"[u'2000/00940402', u'2001/00940402', u'2002/00940402', u'2003/00940402', u'2004/00940402', u'2005/00940402', u'2006/00940402', u'2007/00940402', u'2008/00940402', u'2009/00940402', u'2010/00940402', u'2011/009404', u'2011/00940402', u'2012/009404', u'2012/00940402', u'2013/009404', u'2013/00940402', u'2014/009404', u'2014/00940402', u'2015/009404', u'2015/00940402', u'2016/009404']",,,,,,
00940405,2002,העברה להכנסות מרכזיות,17755,6320,-7970,,-7969,,,,,,,,,,,"[u'1998/00940405', u'1999/00940405', u'2000/00940405', u'2001/00940405', u'2002/00940405', u'2003/00940405', u'2004/00940405', u'2005/00940405', u'2006/00940405', u'2007/00940405', u'2008/00940405', u'2009/00940405', u'2010/00940405']",,,,,,
00940501,2002,"בי""ח אסף הרופא צריפין  הוצאות שכר",347730,346343,348201,,348201,,,,,,,,,,,"[u'2000/00940501', u'2001/00940501', u'2002/00940501', u'2003/00940501', u'2004/00940501', u'2005/00940501', u'2006/00940501', u'2007/00940501', u'2008/00940501', u'2009/00940501', u'2010/00940501', u'2011/009405', u'2011/00940501', u'2012/009405', u'2012/00940501', u'2013/009405', u'2013/00940501', u'2014/009405', u'2014/00940501', u'2015/009405', u'2015/00940501', u'2016/009405', u'2016/00940501']",,,,,,
00940502,2002,"בי""ח ע""ש אסף הרופא     צריפין - קניות",105292,118495,117666,,117665,,,,,,,,,,,"[u'2000/00940502', u'2001/00940502', u'2002/00940502', u'2003/00940502', u'2004/00940502', u'2005/00940502', u'2006/00940502', u'2007/00940502', u'2008/00940502', u'2009/00940502', u'2010/00940502', u'2011/009405', u'2011/00940502', u'2012/009405', u'2012/00940502', u'2013/009405', u'2013/00940502', u'2014/009405', u'2014/00940502', u'2015/009405', u'2015/00940502', u'2016/009405', u'2016/00940502']",,,,,,
00940601,2002,"בי""ח הלל יפה חדרה -    הוצאות שכר",182517,197892,197458,,197457,,,,,,,,,,,"[u'2000/00940601', u'2001/00940601', u'2002/00940601', u'2003/00940601', u'2004/00940601', u'2005/00940601', u'2006/00940601', u'2007/00940601', u'2008/00940601', u'2009/00940601', u'2010/00940601', u'2011/00940601', u'2012/00940601', u'2013/00940601', u'2014/00940601', u'2015/00940601']",,,,,,
00940602,2002,"בי""ח הלל-יפה חדרה -    קניות",69614,67682,68116,,68115,,,,,,,,,,,"[u'2000/00940602', u'2001/00940602', u'2002/00940602', u'2003/00940602', u'2004/00940602', u'2005/00940602', u'2006/00940602', u'2007/00940602', u'2008/00940602', u'2009/00940602', u'2010/00940602', u'2011/00940602', u'2012/00940602', u'2013/00940602', u'2014/00940602', u'2015/00940602']",,,,,,
00940701,2002,"מרכז רפואי ע""ש ברזילי  אשקלון - הוצאות שכר",210658,220446,220200,,220200,,,,,,,,,,,"[u'2000/00940701', u'2001/00940701', u'2002/00940701', u'2003/00940701', u'2004/00940701', u'2005/00940701', u'2006/00940701', u'2007/00940701', u'2008/00940701', u'2009/00940701', u'2010/00940701', u'2011/009407', u'2011/00940701', u'2012/009407', u'2012/00940701', u'2013/009407', u'2013/00940701', u'2014/009407', u'2014/00940701', u'2015/009407', u'2015/00940701', u'2016/009407']",,,,,,
00940702,2002,"מרכז רפואי ע""ש ברזילי  אשקלון - קניות",55463,57748,58080,,58080,,,,,,,,,,,"[u'2000/00940702', u'2001/00940702', u'2002/00940702', u'2003/00940702', u'2004/00940702', u'2005/00940702', u'2006/00940702', u'2007/00940702', u'2008/00940702', u'2009/00940702', u'2010/00940702', u'2011/009407', u'2011/00940702', u'2012/009407', u'2012/00940702', u'2013/009407', u'2013/00940702', u'2014/009407', u'2014/00940702', u'2015/009407', u'2015/00940702', u'2016/009407']",,,,,,
00940801,2002,"הוצאות שכר בי""ח פוריה",112693,125379,126065,,126065,,,,,,,,,,,"[u'1998/00940801', u'1999/00940801', u'2000/00940801', u'2001/00940801', u'2002/00940801', u'2003/00940801', u'2004/00940801', u'2005/00940801', u'2006/00940801', u'2007/00940801', u'2008/00940801', u'2009/00940801', u'2010/00940801', u'2011/00940801', u'2012/00940801', u'2013/00940801', u'2014/00940801', u'2015/00940801', u'2016/009408', u'2016/00940801']",,,,,,
00940802,2002,קניות,25383,20661,20402,,20401,,,,,,,,,,,"[u'1998/00940802', u'1999/00940802', u'2000/00940802', u'2001/00940802', u'2002/00940802', u'2003/00940802', u'2004/00940802', u'2005/00940802', u'2006/00940802', u'2007/00940802', u'2008/00940802', u'2009/00940802', u'2010/00940802', u'2011/00940802', u'2012/00940802', u'2013/00940802', u'2014/00940802']",,,,,,
00940901,2002,"בי""ח זיו-צפת - הוצאות  שכר",148811,156626,159482,,159481,,,,,,,,,,,"[u'2000/00940901', u'2001/00940901', u'2002/00940901', u'2003/00940901', u'2004/00940901', u'2005/00940901', u'2006/00940901', u'2007/00940901', u'2008/00940901', u'2009/00940901', u'2010/00940901', u'2011/009409', u'2011/00940901', u'2012/009409', u'2012/00940901', u'2013/009409', u'2013/00940901', u'2014/009409', u'2014/00940901', u'2015/009409', u'2015/00940901', u'2016/009409']",,,,,,
00940902,2002,"קניות בי""ח - צפת",31316,28314,24984,,24983,,,,,,,,,,,"[u'1998/00940902', u'1999/00940902', u'2000/00940902', u'2001/00940902', u'2002/00940902', u'2003/00940902', u'2004/00940902', u'2005/00940902', u'2006/00940902', u'2007/00940902', u'2008/00940902', u'2009/00940902', u'2010/00940902', u'2011/009409', u'2011/00940902', u'2012/009409', u'2012/00940902', u'2013/009409', u'2013/00940902', u'2014/009409', u'2014/00940902', u'2015/009409', u'2015/00940902', u'2016/009409', u'2016/00940902']",,,,,,
