year,leading_item,req_code,req_title,change_code,change_title,change_type_id,change_type_name,committee_id,budget_code,budget_title,net_expense_diff,gross_expense_diff,allocated_income_diff,commitment_limit_diff,personnel_max_diff,date,pending,equiv_code
2016,21,1,קרן הסיוע לסטודנטים,,מרזרבה כללית,,אישור ועדה,4,00211102,סיוע לסטודנטים,41000,0,0,0,0.0,15/02/2016,False,"[u'1992/00210307', u'1993/00210307', u'1994/00210307', u'1995/00210307', u'1996/00210307', u'1997/00210307', u'1998/00210307', u'1999/00210307', u'2000/00210307', u'2001/00210307', u'2002/00210307', u'2003/00210307', u'2004/00210307', u'2005/00210307', u'2006/00210307', u'2007/00210307', u'2008/00210307', u'2009/00210307', u'2010/00210307', u'2011/00210307', u'2012/00210307', u'2013/00211102', u'2014/00211102', u'2015/00211102', u'2016/00211102']"
2016,21,1,קרן הסיוע לסטודנטים,,מרזרבה כללית,,אישור ועדה,4,00470102,תוכנית מעבר - רזרבה,-41000,0,0,0,0.0,15/02/2016,False,[]
2016,20,1,יישום החלטת ממשלה 747,,מרזרבה כללית,,אישור ועדה,1,00204001,מטה המשרד,-500,0,0,0,0.0,15/02/2016,False,"[u'2015/00204001', u'2016/00204001']"
2016,20,1,יישום החלטת ממשלה 747,,מרזרבה כללית,,אישור ועדה,1,00204902,מוסדות תורניים,80500,0,0,0,0.0,15/02/2016,False,"[u'2015/00204902', u'2016/00204902']"
2016,20,1,יישום החלטת ממשלה 747,,מרזרבה כללית,,אישור ועדה,1,00470102,תוכנית מעבר - רזרבה,-80000,0,0,0,0.0,15/02/2016,False,[]
2016,13,1,תקציב להבטחת הכנסה לאברכים,,לרזרבה כללית,,אישור ועדה,2,00130105,הוצאות שונות,-121000,0,0,0,0.0,15/02/2016,False,"[u'2005/00130105', u'2006/00130105', u'2007/00130105', u'2008/00130105', u'2009/00130105', u'2010/00130105', u'2011/00130105', u'2012/00130105', u'2013/00130105', u'2014/00130105', u'2015/00130105', u'2016/00130105']"
2016,13,1,תקציב להבטחת הכנסה לאברכים,,לרזרבה כללית,,אישור ועדה,2,00470102,תוכנית מעבר - רזרבה,121000,0,0,0,0.0,15/02/2016,False,[]
2014,98,13,"פנייה חיצונית רמ""י סוף שנה",7,שינוי פנימי,2,אישור ועדה,646,00982201,"הוצאות כלליות לשיווק,  פיצויים ורכישות        מקרקעין",551646,0,0,0,0.0,21/12/2014,False,"[u'2013/00982201', u'2014/00982201', u'2015/00982201']"
2014,98,13,"פנייה חיצונית רמ""י סוף שנה",7,שינוי פנימי,2,אישור ועדה,646,00982207,הנחות בקרקע,-551646,0,0,0,0.0,21/12/2014,False,"[u'2004/009806', u'2005/009806', u'2006/009806', u'2007/009806', u'2008/009806', u'2009/009806', u'2010/009806', u'2011/009806', u'2012/009806', u'2013/00982207', u'2014/00982207', u'2015/00982207', u'2016/00982207']"
2014,98,13,"פנייה חיצונית רמ""י סוף שנה",7,שינוי פנימי,2,אישור ועדה,646,00987211,דמי חכירה שנתיים,140000,0,0,0,0.0,21/12/2014,False,"[u'2000/00987211', u'2001/00987211', u'2002/00987211', u'2003/00987211', u'2004/00987211', u'2005/00987211', u'2006/00987211', u'2007/00987211', u'2008/00987211', u'2009/00987211', u'2010/00987211', u'2011/00987211', u'2012/00987211', u'2013/00987211', u'2014/00987211', u'2015/00987211', u'2016/00987211']"
2014,98,13,"פנייה חיצונית רמ""י סוף שנה",7,שינוי פנימי,2,אישור ועדה,646,00987221,הכנסות שונות,24550,0,0,0,0.0,21/12/2014,False,"[u'2000/00987221', u'2001/00987221', u'2002/00987221', u'2003/00987221', u'2004/00987221', u'2005/00987221', u'2006/00987221', u'2007/00987221', u'2008/00987221', u'2009/00987221', u'2010/00987221', u'2011/00987221', u'2012/00987221', u'2013/00987221', u'2014/00987221', u'2015/00987221', u'2016/00987221']"
2014,98,13,"פנייה חיצונית רמ""י סוף שנה",7,שינוי פנימי,2,אישור ועדה,646,00987301,דמי היתר,-275000,0,0,0,0.0,21/12/2014,False,"[u'2000/00987301', u'2001/00987301', u'2002/00987301', u'2003/00987301', u'2004/00987301', u'2005/00987301', u'2006/00987301', u'2007/00987301', u'2008/00987301', u'2009/00987301', u'2010/00987301', u'2011/00987301', u'2012/00987301', u'2013/00987301', u'2014/00987301', u'2015/00987301', u'2016/00987301']"
2014,98,13,"פנייה חיצונית רמ""י סוף שנה",7,שינוי פנימי,2,אישור ועדה,646,00987302,דמי הסכמה,41500,0,0,0,0.0,21/12/2014,False,"[u'2000/00987302', u'2001/00987302', u'2002/00987302', u'2003/00987302', u'2004/00987302', u'2005/00987302', u'2006/00987302', u'2007/00987302', u'2008/00987302', u'2009/00987302', u'2010/00987302', u'2011/00987302', u'2012/00987302', u'2013/00987302', u'2014/00987302', u'2015/00987302', u'2016/00987302']"
2014,98,13,"פנייה חיצונית רמ""י סוף שנה",7,שינוי פנימי,2,אישור ועדה,646,00987314,דמי חכירה מהוונים אחרים,-286050,0,0,0,0.0,21/12/2014,False,"[u'2000/00987314', u'2001/00987314', u'2002/00987314', u'2003/00987314', u'2004/00987314', u'2005/00987314', u'2006/00987314', u'2007/00987314', u'2008/00987314', u'2009/00987314', u'2010/00987314', u'2011/00987314', u'2012/00987314', u'2013/00987314', u'2014/00987314', u'2015/00987314', u'2016/00987314']"
2014,98,13,"פנייה חיצונית רמ""י סוף שנה",7,שינוי פנימי,2,אישור ועדה,646,00987315,מכירת מקרקעין,355000,0,0,0,0.0,21/12/2014,False,"[u'2000/00987315', u'2001/00987315', u'2002/00987315', u'2003/00987315', u'2004/00987315', u'2005/00987315', u'2006/00987315', u'2007/00987315', u'2008/00987315', u'2009/00987315', u'2010/00987315', u'2011/00987315', u'2012/00987315', u'2013/00987315', u'2014/00987315', u'2015/00987315', u'2016/00987315']"
2014,98,13,"פנייה חיצונית רמ""י סוף שנה",7,שינוי פנימי,2,אישור ועדה,646,00987331,הכנסות שונות,23000,0,0,0,0.0,21/12/2014,False,"[u'2000/00987331', u'2001/00987331', u'2002/00987331', u'2003/00987331', u'2004/00987331', u'2005/00987331', u'2006/00987331', u'2007/00987331', u'2008/00987331', u'2009/00987331', u'2010/00987331', u'2011/00987331', u'2012/00987331', u'2013/00987331', u'2014/00987331', u'2015/00987331', u'2016/00987331']"
2014,98,5,פנייה מס' 2 לועדת הכספים,17,הקצאות מהרזרבה הכללית,2,אישור ועדה,111,00982002,"מיקור חוץ, תפעול       ושירותי מידע",21200,0,0,0,0.0,16/07/2014,False,"[u'2013/00982002', u'2014/00982002', u'2015/009820', u'2015/00982002', u'2016/009820']"
