publication_id,budget_code,publisher,regulation,supplier,supplier_id,start_date,end_date,claim_date,last_update_date,contact,contact_email,description,volume,reason,decision,url,subjects,source_currency,page_title,entity_id,entity_kind
578755,,המשרד לביטחון פנים,התקשרות לביצוע מיזם משותף ללא כוונת רווח,המרכז הבינתחומי הרצליה,511936759,2016-04-17,2019-04-17,2016-04-17,2016-03-29,אברהם שלם,avrahamsh@mops.gov.il,התקשרות עם המכון למדיניות נגד טרור,,,טרום החלטת ועדה,http://www.mr.gov.il/ExemptionMessage/Pages/ExemptionMessage.aspx?pID=578755,"[u'\u05e9\u05d9\u05e8\u05d5\u05ea\u05d9 \u05de\u05d7\u05e7\u05e8, \u05d4\u05e0\u05d3\u05e1\u05d4 \u05d5\u05d8\u05db\u05e0\u05d5\u05dc\u05d5\u05d2\u05d9\u05d4', u'\u05e9\u05d9\u05e8\u05d5\u05ea\u05d9 \u05de\u05d7\u05e7\u05e8, \u05d4\u05e0\u05d3\u05e1\u05d4 \u05d5\u05d8\u05db\u05e0\u05d5\u05dc\u05d5\u05d2\u05d9\u05d4']",שקל,פרסום מיזם ללא כוונת רווח טרום החלטת ועדה,511936759,company
574916,,המשרד לביטחון פנים,התקשרות עם ספק יחיד,"אלעד מערכות תוכנה בע""מ",510929177,2016-03-01,2016-12-31,,2016-03-27,,,"התקשרות עם חברת ""אלעד"" לטובת מערכת sharedocs",866932,"כמפורט בפרוטוקול המצ""ב","אושר ע""י ועדת הפטור המרכזית",http://www.mr.gov.il/ExemptionMessage/Pages/ExemptionMessage.aspx?pID=574916,"[u'\u05ea\u05d5\u05db\u05e0\u05d5\u05ea', u'\u05ea\u05d5\u05db\u05e0\u05d5\u05ea']",שקל,בקשה לפטור ממכרז,510929177,company
579145,,המשרד לביטחון פנים - משטרת ישראל,התקשרות עם ספק יחיד,אשדוד ים,513559195,2016-04-05,2016-12-31,,2016-04-07,,,שירותי צביעת ספינה,150000,כמפורט,נרשם,http://www.mr.gov.il/ExemptionMessage/Pages/ExemptionMessage.aspx?pID=579145,[u'\u05e9\u05d9\u05e8\u05d5\u05ea\u05d9 \u05ea\u05d7\u05d6\u05d5\u05e7\u05d4 \u05d5\u05ea\u05d9\u05e7\u05d5\u05df \u05dc\u05db\u05dc\u05d9 \u05e9\u05d9\u05d8'],שקל,דיווח פטור משרדי,513559195,company
579119,,המשרד לביטחון פנים - משטרת ישראל,התקשרות עם ספק יחיד,"מטריקס אי.טי. מערכות בע""מ",520036039,2016-04-06,2018-12-31,2016-04-21,2016-04-06,מיטל זר- בורפקר,meytalzer@police.gov.il,תמיכה ושירות למערכות linux red hat,,,טרום החלטת ועדה,http://www.mr.gov.il/ExemptionMessage/Pages/ExemptionMessage.aspx?pID=579119,"[u'\u05d9\u05d7\u05d9\u05d3\u05d5\u05ea \u05d0\u05d7\u05e1\u05d5\u05df \u05e0\u05ea\u05d5\u05e0\u05d9\u05dd', u'\u05ea\u05d5\u05db\u05e0\u05d5\u05ea', u'\u05e9\u05e8\u05ea\u05d9\u05dd', u'\u05d9\u05d7\u05d9\u05d3\u05d5\u05ea \u05d0\u05d7\u05e1\u05d5\u05df \u05e0\u05ea\u05d5\u05e0\u05d9\u05dd', u'\u05ea\u05d5\u05db\u05e0\u05d5\u05ea', u'\u05e9\u05e8\u05ea\u05d9\u05dd', u'\u05d9\u05d7\u05d9\u05d3\u05d5\u05ea \u05d0\u05d7\u05e1\u05d5\u05df \u05e0\u05ea\u05d5\u05e0\u05d9\u05dd', u'\u05ea\u05d5\u05db\u05e0\u05d5\u05ea', u'\u05e9\u05e8\u05ea\u05d9\u05dd']",שקל,פרסום כוונה להתקשרות עם ספק יחיד טרום החלטת וועדה,520036039,company
572949,,המשרד לביטחון פנים - משטרת ישראל,התקשרות עם מומחה-ידע ומומחיות מיוחדים-בדיקת מספר הצעות,ספקים שונים,,2015-12-03,2020-12-03,,2016-03-31,,,שירותי ניהול ופיקוח להקמת תחנת משטרת לוד,1600000,כמפורט,נרשם,http://www.mr.gov.il/ExemptionMessage/Pages/ExemptionMessage.aspx?pID=572949,"[u'\u05e9\u05d9\u05e8\u05d5\u05ea\u05d9 \u05e0\u05d9\u05d4\u05d5\u05dc, \u05d9\u05e2\u05d5\u05e5 \u05d5\u05de\u05e0\u05d4\u05dc', u'\u05e9\u05d9\u05e8\u05d5\u05ea\u05d9 \u05e0\u05d9\u05d4\u05d5\u05dc, \u05d9\u05e2\u05d5\u05e5 \u05d5\u05de\u05e0\u05d4\u05dc', u'\u05e9\u05d9\u05e8\u05d5\u05ea\u05d9 \u05e0\u05d9\u05d4\u05d5\u05dc, \u05d9\u05e2\u05d5\u05e5 \u05d5\u05de\u05e0\u05d4\u05dc']",שקל,דיווח פטור משרדי,,
578808,,המשרד לביטחון פנים - משטרת ישראל,התקשרות עם ספק יחיד,אתרים בחוף תא חברה לפתוח אתרי תיירו,520028721,2016-01-01,2016-12-31,,2016-03-30,,,"דמי עגינה עבור שיטור ימי במרינה ת""א",150000,כמפורט,נרשם,http://www.mr.gov.il/ExemptionMessage/Pages/ExemptionMessage.aspx?pID=578808,"[u'\u05e9\u05d9\u05e8\u05d5\u05ea\u05d9 \u05e2\u05d2\u05d9\u05e0\u05d4 \u05dc\u05db\u05dc\u05d9 \u05e9\u05d9\u05d8 ', u'\u05e9\u05d9\u05e8\u05d5\u05ea\u05d9 \u05e2\u05d2\u05d9\u05e0\u05d4 \u05dc\u05db\u05dc\u05d9 \u05e9\u05d9\u05d8 ']",שקל,דיווח פטור משרדי,520028721,company
578723,,המשרד לביטחון פנים - משטרת ישראל,התקשרות המשך בסמכות ועדת פטור משרדית,"מקט טקסטיל בע""מ",,2016-02-17,2016-12-31,,2016-03-29,,,"רכש מדי עבודה, מג""ב, יס""מ וחבלה",1700000,כמפורט,נרשם,http://www.mr.gov.il/ExemptionMessage/Pages/ExemptionMessage.aspx?pID=578723,"[u'\u05d1\u05d9\u05d2\u05d5\u05d3', u'\u05d1\u05d9\u05d2\u05d5\u05d3']",שקל,דיווח פטור משרדי,511978850,company
578740,,המשרד לביטחון פנים - משטרת ישראל,התקשרות עם ספק חוץ,combined system INC,,2016-01-01,2016-12-31,,2016-03-29,,,חלקי חילוף לרובה גז תופי,300000,כמפורט,נרשם,http://www.mr.gov.il/ExemptionMessage/Pages/ExemptionMessage.aspx?pID=578740,"[u'\u05e0\u05e9\u05e7 \u05e7\u05dc \u05d5\u05ea\u05d7\u05de\u05d5\u05e9\u05ea', u'\u05e0\u05e9\u05e7 \u05e7\u05dc \u05d5\u05ea\u05d7\u05de\u05d5\u05e9\u05ea']",שקל,דיווח פטור משרדי,,
578671,,המשרד לביטחון פנים - משטרת ישראל,התקשרות עם ספק יחיד,"סאפ מאנג' בע""מ",513216275,2016-09-01,2031-08-31,2016-04-14,2016-03-28,מיטל זר- בורפקר,meytalzer@police.gov.il,בקשה להמשך התקשרות עם חברת סאפ -רישוי ותחזוקה,,,טרום החלטת ועדה,http://www.mr.gov.il/ExemptionMessage/Pages/ExemptionMessage.aspx?pID=578671,"[u'\u05d9\u05d7\u05d9\u05d3\u05d5\u05ea \u05d0\u05d7\u05e1\u05d5\u05df \u05e0\u05ea\u05d5\u05e0\u05d9\u05dd', u'\u05ea\u05d5\u05db\u05e0\u05d5\u05ea', u'\u05e9\u05e8\u05ea\u05d9\u05dd', u'\u05d9\u05d7\u05d9\u05d3\u05d5\u05ea \u05d0\u05d7\u05e1\u05d5\u05df \u05e0\u05ea\u05d5\u05e0\u05d9\u05dd', u'\u05ea\u05d5\u05db\u05e0\u05d5\u05ea', u'\u05e9\u05e8\u05ea\u05d9\u05dd']",שקל,פרסום כוונה להתקשרות עם ספק יחיד טרום החלטת וועדה,513216275,company
578586,,המשרד לביטחון פנים - משטרת ישראל,התקשרות עם ספק יחיד,"""דלק"" חברת הדלק הישראלית בע""מ",520018946,2016-01-01,2016-12-31,,2016-03-27,,,בנזין 95 עבור ספינות השיטור הימי,250000,כמפורט,נרשם,http://www.mr.gov.il/ExemptionMessage/Pages/ExemptionMessage.aspx?pID=578586,"[u'\u05d3\u05dc\u05e7\u05d9\u05dd \u05d5\u05ea\u05d5\u05e1\u05e4\u05d9 \u05d3\u05dc\u05e7,\u05e9\u05de\u05e0\u05d9\u05dd, \u05d7\u05d5\u05de\u05e8\u05d9 \u05e1\u05d9\u05db\u05d4 \u05d5\u05d7\u05d5\u05de\u05e8\u05d9\u05dd \u05e0\u05d2\u05d3 \u05d7\u05dc\u05d5\u05d3\u05d4 (\u05e7\u05d5\u05e8\u05d5\u05d6\u05d9\u05d4)', u'\u05d3\u05dc\u05e7\u05d9\u05dd \u05d5\u05ea\u05d5\u05e1\u05e4\u05d9 \u05d3\u05dc\u05e7,\u05e9\u05de\u05e0\u05d9\u05dd, \u05d7\u05d5\u05de\u05e8\u05d9 \u05e1\u05d9\u05db\u05d4 \u05d5\u05d7\u05d5\u05de\u05e8\u05d9\u05dd \u05e0\u05d2\u05d3 \u05d7\u05dc\u05d5\u05d3\u05d4 (\u05e7\u05d5\u05e8\u05d5\u05d6\u05d9\u05d4)']",שקל,דיווח פטור משרדי,520018946,company
