publication_id,publisher,publish_date,claim_date,claim_time,last_update_date,description,url,subjects,status
577113,המשרד לביטחון פנים,2016-02-22,2016-05-10,12:00,2016-04-04,מכרז למתן שירותי בקרה ופיקוח במכללה הלאומית לשוטרים  בית שמש,http://www.mr.gov.il/officestenders/Pages/officetender.aspx?pID=577113,שירותי יעוץ לניהול; שירותי ניהול נכסים,עודכן
578809,המשרד לביטחון פנים,2016-03-31,2016-05-16,12:00,2016-03-31,"מכרז לביצוע עבודות תכנון, הקמה, הפעלה, מסירה ותחזוקה של מתקנים לייצור חשמל בטכנולוגיית PV (פוטו - וולטאי) על פי הסדרת מונה נטו",http://www.mr.gov.il/officestenders/Pages/officetender.aspx?pID=578809,"שירותים צבוריים (חשמל,גז,מים); שירותי איכות סביבה; מערכות ועזרים לייצור והפצת כח; ניהול סביבתי",עודכן
578057,המשרד לביטחון פנים - משטרת ישראל,2016-03-14,2016-04-19,14:00,2016-04-10,רישוי אתרי תקשורת של משטרת ישראל,http://www.mr.gov.il/officestenders/Pages/officetender.aspx?pID=578057,מחשוב ותקשורת,עודכן
578052,המשרד לביטחון פנים - משטרת ישראל,2016-03-14,2016-05-03,14:00,2016-04-05,כבל אבטחה לאקדח,http://www.mr.gov.il/officestenders/Pages/officetender.aspx?pID=578052,ציוד בטחון  ובטיחות,עודכן
578053,המשרד לביטחון פנים - משטרת ישראל,2016-03-14,2016-04-19,14:00,2016-04-05,מתקני הגבהה (ליפטים) לרכבים,http://www.mr.gov.il/officestenders/Pages/officetender.aspx?pID=578053,ציוד ואביזרים לרכב,עודכן
578047,המשרד לביטחון פנים - משטרת ישראל,2016-03-14,2016-04-19,14:00,2016-04-03,שכירת והפעלת ציוד מכאני הנדסי,http://www.mr.gov.il/officestenders/Pages/officetender.aspx?pID=578047,מכונות וציוד לבנייה והרכבה,עודכן
578618,המשרד לביטחון פנים - משטרת ישראל,2016-03-28,2016-04-19,14:00,2016-03-31,אספקת דגלים שונים למשטרת ישראל,http://www.mr.gov.il/officestenders/Pages/officetender.aspx?pID=578618,מוצרי דפוס והוצאה לאור,עודכן
578652,המשרד לביטחון פנים - משטרת ישראל,2016-03-28,2016-05-03,14:00,2016-03-31,"כדור 40 מ""מ ספוג שחור לפיזור הפגנות",http://www.mr.gov.il/officestenders/Pages/officetender.aspx?pID=578652,נשק קל ותחמושת,עודכן
578624,המשרד לביטחון פנים - משטרת ישראל,2016-03-28,2016-05-03,14:00,2016-03-31,תיקון מקרנים,http://www.mr.gov.il/officestenders/Pages/officetender.aspx?pID=578624,מכשירי תקשורת ואביזרים,עודכן
576779,המשרד לביטחון פנים - משטרת ישראל,2016-02-15,2016-04-19,14:00,2016-03-31,תחזוקת ציוד צילום והקלטה,http://www.mr.gov.il/officestenders/Pages/officetender.aspx?pID=576779,שירותי הפקת וידאו,עודכן
576813,המשרד לביטחון פנים - משטרת ישראל,2016-02-15,2016-03-29,14:00,2016-03-30,אבחון וייעוץ למחלקת מדעי ההתנהגות,http://www.mr.gov.il/officestenders/Pages/officetender.aspx?pID=576813,שרותי חינוך מיוחדים,הסתיים
578619,המשרד לביטחון פנים - משטרת ישראל,2016-03-28,2016-04-28,14:00,2016-03-28,"למכשיר למדידת תאוטות, תאוצות ומקדמי חיכוך",http://www.mr.gov.il/officestenders/Pages/officetender.aspx?pID=578619,ציוד ואביזרים לרכב,חדש
579210,המשרד לביטחון פנים - נציבות כבאות והצלה,2016-04-10,2016-05-17,12:00,2016-04-10,אספקת ציוד ייעודי לחומרים מסוכנים עבור הרשות הארצית לכבאות והצלה,http://www.mr.gov.il/officestenders/Pages/officetender.aspx?pID=579210,הגנה מפני אש; ציוד בטיחות ומיגון,חדש
578244,המשרד לביטחון פנים - נציבות כבאות והצלה,2016-03-17,2016-04-12,12:00,2016-04-10,הקמת תחנת כיבוי אש שחמון אילת,http://www.mr.gov.il/officestenders/Pages/officetender.aspx?pID=578244,שירותי בנייה ואחזקת מבנים,עודכן
578183,המשרד לביטחון פנים - נציבות כבאות והצלה,2016-03-16,2016-04-04,12:00,2016-04-06,אספקת תווי קנייה בכרטיס מגנטי עבור הרשות הארצית לכבאות והצלה,http://www.mr.gov.il/officestenders/Pages/officetender.aspx?pID=578183,תוכנות; רכיבים לטכנולוגיות מידע ושידור; שירותי מיחשוב,הסתיים
578811,המשרד לבטחון פנים - שירות בתי הסוהר,2016-03-31,2016-05-09,12:00,2016-04-03,ייצור ואספקת  מבנים יבילים טרומיים מבטון,http://www.mr.gov.il/officestenders/Pages/officetender.aspx?pID=578811,"חומרים ורכיבים לבניה והרכבה; רכיבים מבניים ותבניות; בטון, מלט וטיח; כבישים ונוף; בידוד; חוץ חומרי הגמר; חומרי גימור פנים; דלתות, חלונות וזכוכית; אינסטלציה; ציוד תמיכה לבניה ותחזוקה; מבנים טרומיים ; מבנים קבע ; מבנים יבילים; חומרים וציוד לכרייה; חומרי בניין; שירותי בנייה ואחזקת מבנים; החכרת / השכרת קרקעות ומבנים; החכרת / השכרת מבנה מגורים; החכרת / השכרת מבנה למסחר, תעשייה ותיירות; החכרת / השכרת קרקע; מכירת קרקעות ומבנים; מכירת קרקע / מבנה למגורים; מכירת קרקע למסחר, תעשייה ותיירות; מכירת מבנה מסחרי",עודכן
577584,המשרד לבטחון פנים - שירות בתי הסוהר,2016-03-03,2016-03-28,12:00,2016-03-29,תכנון וביצוע משלחות לפולין בנושא השואה,http://www.mr.gov.il/officestenders/Pages/officetender.aspx?pID=577584,"שירותי הסעות, אחסון ושירותי דואר; שירותי תקשורת; שירותי הפקת אירועים; שירותי סוכני נסיעות; שירותי מלון וכנסים; שירותי רווחה, נסיעות; כיתות הדרכה; שרותי חינוך מיוחדים;  שירותי חינוך והכשרה; שירותים צבוריים (חשמל,גז,מים); שירותים למגזר הצבורי; שירותי חניה; שירותי אחסון וגניזה; שירותי הסעות; הובלת דואר וחבילות",הסתיים
576948,המשרד להגנת הסביבה,2016-02-18,2016-04-07,13:00,2016-04-10,מכרז פומבי מס' 2/16 לרכישת שירותי ביצוע סקרי הערכות סיכונים לחומרים מסוכנים,http://www.mr.gov.il/officestenders/Pages/officetender.aspx?pID=576948,"שירותי ניהול, יעוץ ומנהל; שירותי מחקר, הנדסה וטכנולוגיה; שירותי יעוץ לניהול; שירותי איכות סביבה;  שירותי הנדסה מיקצועים; ניהול סביבתי",הסתיים
577761,המשרד להגנת הסביבה,2016-03-07,2016-05-22,13:00,2016-04-07,מכרז פומבי מספר 4/16 לקבלת שירותי ייעוץ מקצועי בתחום קרקעות מזוהמות,http://www.mr.gov.il/officestenders/Pages/officetender.aspx?pID=577761,"מינרלים, פסולת וחומרים בלתי אכילים; ניהול סביבתי; שירותי איכות סביבה",עודכן
577763,המשרד להגנת הסביבה,2016-03-07,2016-05-04,13:00,2016-04-07,מכרז פומבי מספר 5/16 לבחירת מוסכים מורשים באזור חיפה להתקנת מסנני חלקיקים בכלי רכב מזהמים,http://www.mr.gov.il/officestenders/Pages/officetender.aspx?pID=577763,שירותי איכות סביבה; ניהול סביבתי; חומרים ורכיבים לתעשייה,עודכן
577962,המשרד להגנת הסביבה,2016-03-10,2016-04-04,13:00,2016-04-06,בקשה לקבלת מידע RFI))  מערכות לניטור גדר של חומרים אורגניים באוויר,http://www.mr.gov.il/officestenders/Pages/officetender.aspx?pID=577962,"ניהול סביבתי; שירותי איכות סביבה; ציוד מעבדה, מדידה ואביזרים נלווים; תרכובות ותערובות;  שירותי הנדסה מיקצועים; שירותי מחקר, הנדסה וטכנולוגיה",הסתיים
577221,המשרד להגנת הסביבה,2016-02-25,2016-05-15,13:00,2016-04-05,מכרז פומבי  מס' 3/16 לרכישת שירותים מקצועיים להטמעת ההנחיות הישראליות לביצוע הערכת סיכונים במתודולגית ה-  IRBCA,http://www.mr.gov.il/officestenders/Pages/officetender.aspx?pID=577221,"שירותי ניהול, יעוץ ומנהל; שירותי איכות סביבה; שירותי מחקר, הנדסה וטכנולוגיה; שירותי מיחשוב; שירותי יעוץ לניהול;  שירותי הנדסה מיקצועים; ניהול סביבתי",עודכן
578945,המשרד להגנת הסביבה,2016-04-05,2016-06-20,12:00,2016-04-04,קול קורא - אירוע דליפת דלק בעברונה,http://www.mr.gov.il/officestenders/Pages/officetender.aspx?pID=578945,"שירותי ניקיון והדברה; מגדלור ; מבדוק; מבדוק יבש; טכנולוגיית הייצור; שירותי מיחשוב; הנדסה ימית;  שירותי הנדסה מיקצועים; שירותי מחקר, הנדסה וטכנולוגיה; שירותי תחזוקה ותיקון לכלי שיט; שירותי עגינה לכלי שיט ; שירותי הספנת כלי שיט; ניהול סביבתי; שירותי איכות סביבה; איסוף והשלכת פסולת; שרותי תחזוקה וניקוי; שירותי בניית מזח / רציף; שירותי דלק וגז; שירותי כרייה; שירותי כרייה,שירותי דלק וגז; ציוד מעבדה, מדידה ואביזרים נלווים; מערכות ומכלולים לכלי שיט; מצוף ; כלי שיט; מוצרים ושירותים ימיים; ציוד ומכונות לשינוע ואחסון של חומרים; מכונות וציוד נלווה לחקלאות,ייעור ודייג; מכונות וציוד לחציבה,כרייה וקידוח; דלקים ותוספי דלק,שמנים, חומרי סיכה וחומרים נגד חלודה (קורוזיה); חומרי שרף וגומי,חומרים מוקצפים ואלסטיים",חדש
578946,המשרד להגנת הסביבה,2016-04-05,2016-06-20,12:00,2016-04-04,קול קורא בניה ירוקה,http://www.mr.gov.il/officestenders/Pages/officetender.aspx?pID=578946,"מבנים טרומיים ; החכרת / השכרת קרקע; החכרת / השכרת מבנה למסחר, תעשייה ותיירות; החכרת / השכרת מבנה מגורים; החכרת / השכרת קרקעות ומבנים; צנרת צינורות ואביזרים; סינון וטיהור; משאבות ומדחסים; נוזלים והפצת גז; חימום, קירור והזרמת אויר; מיזוג אוויר; חומרים ורכיבים לתעשייה; חומרי בניין; חומרים וציוד לכרייה; מבנים יבילים; מבנים קבע ; ציוד תמיכה לבניה ותחזוקה; אינסטלציה; דלתות, חלונות וזכוכית; חומרי גימור פנים; חוץ חומרי הגמר; בידוד; כבישים ונוף; בטון, מלט וטיח; רכיבים מבניים ותבניות; חומרים ורכיבים לבניה והרכבה; מכונות וציוד לבנייה והרכבה; מכונות וציוד לחציבה,כרייה וקידוח; דלקים ותוספי דלק,שמנים, חומרי סיכה וחומרים נגד חלודה (קורוזיה); חומרי שרף וגומי,חומרים מוקצפים ואלסטיים",חדש
578942,המשרד להגנת הסביבה,2016-04-05,2016-06-20,12:00,2016-04-04,קול קורא - אפידמיולוגיה סביבתית - מפרץ חיפה,http://www.mr.gov.il/officestenders/Pages/officetender.aspx?pID=578942,"שירותי איכות סביבה; שירותי מיחשוב; שירותי תקשורת; שירותים צבוריים (חשמל,גז,מים); שירותים למגזר הצבורי; טכנולוגיית הייצור;  שירותי הנדסה מיקצועים; שירותי מחקר, הנדסה וטכנולוגיה; ניהול סביבתי",חדש
578943,המשרד להגנת הסביבה,2016-04-05,2016-06-20,12:00,2016-04-04,קול קורא - היבטי סביבה במפרץ חיפה,http://www.mr.gov.il/officestenders/Pages/officetender.aspx?pID=578943,"שירותי תקשורת; שירותי דלק וגז; שירותים צבוריים (חשמל,גז,מים); דלקים ותוספי דלק,שמנים, חומרי סיכה וחומרים נגד חלודה (קורוזיה); שירותי כרייה,שירותי דלק וגז; שירותי כרייה; ניהול סביבתי; ציוד מעבדה, מדידה ואביזרים נלווים; שירותי איכות סביבה; שירותים למגזר הצבורי",חדש
578944,המשרד להגנת הסביבה,2016-04-05,2016-06-20,12:00,2016-04-04,קול קורא היבטי סביבה בתחליפי נפט לתחבורה,http://www.mr.gov.il/officestenders/Pages/officetender.aspx?pID=578944,"דלקים ותוספי דלק,שמנים, חומרי סיכה וחומרים נגד חלודה (קורוזיה); השכרת וחכירת כלי רכב; שירותי תקשורת; שירותים צבוריים (חשמל,גז,מים); שירותים למגזר הצבורי; טכנולוגיית הייצור; שירותי מיחשוב;  שירותי הנדסה מיקצועים; שירותי מחקר, הנדסה וטכנולוגיה; שירותי ניהול נכסים; שירותי יעוץ משפטי; שירותי כוח אדם; שירותי יעוץ לניהול; שירותי ניהול, יעוץ ומנהל; שירותי גרירה; ניהול סביבתי; שירותי איכות סביבה; שירותי דלק וגז; שירותי כרייה; שירותי כרייה,שירותי דלק וגז; ציוד מעבדה, מדידה ואביזרים נלווים; שירותים לכלי רכב; נגררים; ציוד ואביזרים לרכב; כלי רכב ממונעים; כלי רכב, אביזרים ושירותים לרכב; מכונות וציוד לחציבה,כרייה וקידוח",חדש
576652,המשרד להגנת הסביבה,2016-02-11,2016-03-30,13:00,2016-03-31,מכרז פומבי מספר 1/16 לקבלת שירותי ייעוץ למשרד להגנת הסביבה בנושא הפיקוח על העוסקים בתחום הפסולת וקביעת מחיר מפוקח,http://www.mr.gov.il/officestenders/Pages/officetender.aspx?pID=576652,"שירותי יעוץ לניהול; ניהול סביבתי; שירותי יעוץ משפטי; שירותי איכות סביבה; שירותי ניהול, יעוץ ומנהל",הסתיים
578058,המשרד לפיתוח הנגב והגליל,2016-03-14,2016-04-11,12:00,2016-04-04,קבלת שירותי יעוץ בהליכי מכרזים והתקשרויות,http://www.mr.gov.il/officestenders/Pages/officetender.aspx?pID=578058,"שירותי ניהול, יעוץ ומנהל",עודכן
578842,המשרד לפיתוח הנגב והגליל,2016-03-31,2016-05-19,12:00,2016-03-31,"פניה לקבלת הצעות להפעלת מערך מתוקשב לצורך הכנה למקצועות הבגרות עבור התלמידים בפריפריה החברתית, הנגב והגליל",http://www.mr.gov.il/officestenders/Pages/officetender.aspx?pID=578842,כיתות הדרכה;  שירותי חינוך והכשרה,חדש
